Name,Anrede,Wahlkreis,Email,Partei,WahlkreisNummer,Title,FirstName,LastName,Bundesland
Lamya Kaddor,Frau,114 - Duisburg I,lamya.kaddor@bundestag.de,GRÜNE,114,,Lamya,Kaddor,Nordrhein-Westfalen
Elisabeth Kaiser,Frau,193 - Gera – Greiz – Altenburger Land,elisabeth.kaiser@bundestag.de,SPD,193,,Elisabeth,Kaiser,Thüringen
Maren Kaminski,Frau,42 - Stadt Hannover II,maren.kaminski@bundestag.de,DIE LINKE,42,,Maren,Kaminski,Niedersachsen
Nicklas Kappe,Herr,124 - Bottrop – Recklinghausen III,nicklas.kappe@bundestag.de,CDU,124,,Nicklas,Kappe,Nordrhein-Westfalen
Dr. Kirsten Kappert-Gonther,Frau,54 - Bremen I,kirsten.kappert-gonther@bundestag.de,GRÜNE,54,Dr.,Kirsten,Kappert-Gonther,Bremen
Macit Karaahmetoğlu,Herr,265 - Ludwigsburg,macit.karaahmetoglu@bundestag.de,SPD,265,,Macit,Karaahmetoğlu,Baden-Württemberg
Anja Karliczek,Frau,127 - Steinfurt III,anja.karliczek@bundestag.de,CDU,127,,Anja,Karliczek,Nordrhein-Westfalen
Michael Kellner,Herr,57 - Uckermark – Barnim I,michael.kellner@bundestag.de,GRÜNE,57,,Michael,Kellner,Brandenburg
Dr. Franziska Kersten,Frau,67 - Börde – Salzlandkreis,franziska.kersten@bundestag.de,SPD,67,Dr.,Franziska,Kersten,Sachsen-Anhalt
Misbah Khan,Frau,207 - Neustadt – Speyer,misbah.khan@bundestag.de,GRÜNE,207,,Misbah,Khan,Rheinland-Pfalz
Roderich Kiesewetter,Herr,270 - Aalen – Heidenheim,roderich.kiesewetter@bundestag.de,CDU,270,,Roderich,Kiesewetter,Baden-Württemberg
Michael Kießling,Herr,223 - Starnberg – Landsberg am Lech,michael.kiessling@bundestag.de,CSU,223,,Michael,Kießling,Bayern
Dr. Georg Kippels,Herr,90 - Rhein-Erft-Kreis I,georg.kippels@bundestag.de,CDU,90,Dr.,Georg,Kippels,Nordrhein-Westfalen
Helmut Kleebank,Herr,77 - Berlin-Spandau – Charlottenburg Nord,helmut.kleebank@bundestag.de,SPD,77,,Helmut,Kleebank,Berlin
Dr. Ottilie Klein,Frau,81 - Berlin-Neukölln,ottilie.klein@bundestag.de,CDU,81,Dr.,Ottilie,Klein,Berlin
Lars Klingbeil,Herr,35 - Rotenburg I – Heidekreis,lars.klingbeil@bundestag.de,SPD,35,,Lars,Klingbeil,Niedersachsen
Annika Klose,Frau,74 - Berlin-Mitte,annika.klose@bundestag.de,SPD,74,,Annika,Klose,Berlin
Julia Klöckner,Frau,200 - Kreuznach,julia.kloeckner@bundestag.de,CDU,200,,Julia,Klöckner,Rheinland-Pfalz
Tim Klüssendorf,Herr,11 - Lübeck,tim.kluessendorf@bundestag.de,SPD,11,,Tim,Klüssendorf,Schleswig-Holstein
Sieghard Knodel,Herr,,sieghard.knodel@bundestag.de,fraktionslos,,,Sieghard,Knodel,Baden-Württemberg
Axel Knoerig,Herr,33 - Diepholz – Nienburg I,axel.knoerig@bundestag.de,CDU,33,,Axel,Knoerig,Niedersachsen
Dr. Bärbel Kofler,Frau,224 - Traunstein,baerbel.kofler@bundestag.de,SPD,224,Dr.,Bärbel,Kofler,Bayern
Hans Koller,Herr,228 - Passau,hans.koller@bundestag.de,CSU,228,,Hans,Koller,Bayern
Markus Koob,Herr,175 - Hochtaunus,markus.koob@bundestag.de,CDU,175,,Markus,Koob,Hessen
Chantal Kopf,Frau,281 - Freiburg,chantal.kopf@bundestag.de,GRÜNE,281,,Chantal,Kopf,Baden-Württemberg
Dr. Stefan Korbach,Herr,178 - Wiesbaden,stefan.korbach@bundestag.de,CDU,178,Dr.,Stefan,Korbach,Hessen
Ferat Koçak,Herr,81 - Berlin-Neukölln,ferat.kocak@bundestag.de,DIE LINKE,81,,Ferat,Koçak,Berlin
Anette Kramme,Frau,236 - Bayreuth,anette.kramme@bundestag.de,SPD,236,,Anette,Kramme,Bayern
Dunja Kreiser,Frau,49 - Salzgitter – Wolfenbüttel,dunja.kreiser@bundestag.de,SPD,49,,Dunja,Kreiser,Niedersachsen
Gunther Krichbaum,Herr,279 - Pforzheim,gunther.krichbaum@bundestag.de,CDU,279,,Gunther,Krichbaum,Baden-Württemberg
Lukas Krieger,Herr,79 - Berlin-Charlottenburg-Wilmersdorf,lukas.krieger@bundestag.de,CDU,79,,Lukas,Krieger,Berlin
Dr. Günter Krings,Herr,108 - Mönchengladbach,guenter.krings@bundestag.de,CDU,108,Dr.,Günter,Krings,Nordrhein-Westfalen
Martin Kröber,Herr,69 - Magdeburg,martin.kroeber@bundestag.de,SPD,69,,Martin,Kröber,Sachsen-Anhalt
Tilman Kuban,Herr,47 - Hannover-Land II,tilman.kuban@bundestag.de,CDU,47,,Tilman,Kuban,Niedersachsen
Cansin Köktürk,Frau,139 - Bochum I,cansin.koektuerk@bundestag.de,DIE LINKE,139,,Cansin,Köktürk,Nordrhein-Westfalen
Daniel Kölbl,Herr,7 - Pinneberg,daniel.koelbl@bundestag.de,CDU,7,,Daniel,Kölbl,Schleswig-Holstein
Anne König,Frau,125 - Borken II,anne.koenig@bundestag.de,CDU,125,,Anne,König,Nordrhein-Westfalen
Carsten Körber,Herr,164 - Zwickau,carsten.koerber@bundestag.de,CDU,164,,Carsten,Körber,Sachsen
Dr. Konrad Körner,Herr,241 - Erlangen,konrad.koerner@bundestag.de,CSU,241,Dr.,Konrad,Körner,Bayern
Jan Köstering,Herr,98 - Oberbergischer Kreis,jan.koestering@bundestag.de,DIE LINKE,98,,Jan,Köstering,Nordrhein-Westfalen
Ricarda Lang,Frau,269 - Backnang – Schwäbisch Gmünd,ricarda.lang@bundestag.de,GRÜNE,269,,Ricarda,Lang,Baden-Württemberg
Ulrich Lange,Herr,253 - Donau-Ries,ulrich.lange@bundestag.de,CSU,253,,Ulrich,Lange,Bayern
Armin Laschet,Herr,86 - Aachen I,armin.laschet@bundestag.de,CDU,86,,Armin,Laschet,Nordrhein-Westfalen
Ina Latendorf,Frau,12 - Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,ina.latendorf@bundestag.de,DIE LINKE,12,,Ina,Latendorf,Mecklenburg-Vorpommern
Dr. Silke Launert,Frau,236 - Bayreuth,silke.launert@bundestag.de,CSU,236,Dr.,Silke,Launert,Bayern
Dr. Karl Lauterbach,Herr,100 - Leverkusen – Köln IV,karl.lauterbach@bundestag.de,SPD,100,Dr.,Karl,Lauterbach,Nordrhein-Westfalen
Caren Lay,Frau,155 - Bautzen I,caren.lay@bundestag.de,DIE LINKE,155,,Caren,Lay,Sachsen
Jens Lehmann,Herr,151 - Leipzig I,jens.lehmann@bundestag.de,CDU,151,,Jens,Lehmann,Sachsen
Sven Lehmann,Herr,93 - Köln II,sven.lehmann@bundestag.de,GRÜNE,93,,Sven,Lehmann,Nordrhein-Westfalen
Sonja Lemke,Frau,142 - Dortmund II,sonja.lemke@bundestag.de,DIE LINKE,142,,Sonja,Lemke,Nordrhein-Westfalen
Steffi Lemke,Frau,70 - Anhalt – Dessau – Wittenberg,steffi.lemke@bundestag.de,GRÜNE,70,,Steffi,Lemke,Sachsen-Anhalt
Rebecca Lenhard,Frau,243 - Nürnberg-Nord,rebecca.lenhard@bundestag.de,GRÜNE,243,,Rebecca,Lenhard,Bayern
Dr. Andreas Lenz,Herr,212 - Erding – Ebersberg,andreas.lenz@bundestag.de,CSU,212,Dr.,Andreas,Lenz,Bayern
Esra Limbacher,Herr,299 - Homburg,esra.limbacher@bundestag.de,SPD,299,,Esra,Limbacher,Saarland
Helge Limburg,Herr,46 - Hameln-Pyrmont – Holzminden,helge.limburg@bundestag.de,GRÜNE,46,,Helge,Limburg,Niedersachsen
Helge Lindh,Herr,101 - Wuppertal I,helge.lindh@bundestag.de,SPD,101,,Helge,Lindh,Nordrhein-Westfalen
Andrea Lindholz,Frau,246 - Aschaffenburg,andrea.lindholz@bundestag.de,CSU,246,,Andrea,Lindholz,Bayern
Dr. Carsten Linnemann,Herr,136 - Paderborn,carsten.linnemann@bundestag.de,CDU,136,Dr.,Carsten,Linnemann,Nordrhein-Westfalen
Patricia Lips,Frau,186 - Odenwald,patricia.lips@bundestag.de,CDU,186,,Patricia,Lips,Hessen
Denise Loop,Frau,2 - Nordfriesland – Dithmarschen Nord,denise.loop@bundestag.de,GRÜNE,2,,Denise,Loop,Schleswig-Holstein
Max Lucks,Herr,139 - Bochum I,max.lucks@bundestag.de,GRÜNE,139,,Max,Lucks,Nordrhein-Westfalen
Dr. Jan-Marco Luczak,Herr,80 - Berlin-Tempelhof-Schöneberg,jan-marco.luczak@bundestag.de,CDU,80,Dr.,Jan-Marco,Luczak,Berlin
Dr. Saskia Ludwig,Frau,60 - BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,saskia.ludwig@bundestag.de,CDU,60,Dr.,Saskia,Ludwig,Brandenburg
Bettina Lugk,Frau,149 - Märkischer Kreis II,bettina.lugk@bundestag.de,SPD,149,,Bettina,Lugk,Nordrhein-Westfalen
Dr. Andrea Lübcke,Frau,62 - Dahme-Spreewald – Teltow-Fläming III,andrea.luebcke@bundestag.de,GRÜNE,62,Dr.,Andrea,Lübcke,Brandenburg
Dr. Anna Lührmann,Frau,180 - Main-Taunus,anna.luehrmann@bundestag.de,GRÜNE,180,Dr.,Anna,Lührmann,Hessen
Dr. Tanja Machalet,Frau,203 - Montabaur,tanja.machalet@bundestag.de,SPD,203,Dr.,Tanja,Machalet,Rheinland-Pfalz
Klaus Mack,Herr,280 - Calw,klaus.mack@bundestag.de,CDU,280,,Klaus,Mack,Baden-Württemberg
Isabel Mackensen,Frau,207 - Neustadt – Speyer,isabel.mackensen@bundestag.de,SPD,207,,Isabel,Mackensen,Rheinland-Pfalz
Agnes Malczak,Frau,294 - Ravensburg,agnes.malczak@bundestag.de,GRÜNE,294,,Agnes,Malczak,Baden-Württemberg
David Mandrella,Herr,231 - Amberg,david.mandrella@bundestag.de,SPD,231,,David,Mandrella,Bayern
Holger Mann,Herr,151 - Leipzig I,holger.mann@bundestag.de,SPD,151,,Holger,Mann,Sachsen
Dorothee Mantel,Frau,247 - Bad Kissingen,dorothee.mantel@bundestag.de,CSU,247,,Dorothee,Mantel,Bayern
Parsa Marvi,Herr,271 - Karlsruhe-Stadt,parsa.marvi@bundestag.de,SPD,271,,Parsa,Marvi,Baden-Württemberg
Katja Mast,Frau,279 - Pforzheim,katja.mast@bundestag.de,SPD,279,,Katja,Mast,Baden-Württemberg
Andreas Mattfeldt,Herr,34 - Osterholz – Verden,andreas.mattfeldt@bundestag.de,CDU,34,,Andreas,Mattfeldt,Niedersachsen
Stephan Mayer,Herr,211 - Altötting,stephan.mayer@bundestag.de,CSU,211,,Stephan,Mayer,Bayern
Dr. Zoe Mayer,Frau,271 - Karlsruhe-Stadt,zoe.mayer@bundestag.de,GRÜNE,271,Dr.,Zoe,Mayer,Baden-Württemberg
Volker Mayer-Lay,Herr,293 - Bodensee,volker.mayer-lay@bundestag.de,CDU,293,,Volker,Mayer-Lay,Baden-Württemberg
Tamara Mazzi,Frau,5 - Kiel,tamara.mazzi@bundestag.de,DIE LINKE,5,,Tamara,Mazzi,Schleswig-Holstein
Pascal Meiser,Herr,82 - Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,pascal.meiser@bundestag.de,DIE LINKE,82,,Pascal,Meiser,Berlin
Dr. Michael Meister,Herr,187 - Bergstraße,michael.meister@bundestag.de,CDU,187,Dr.,Michael,Meister,Hessen
Stella Merendino,Frau,74 - Berlin-Mitte,stella.merendino@bundestag.de,DIE LINKE,74,,Stella,Merendino,Berlin
Friedrich Merz,Herr,146 - Hochsauerlandkreis,friedrich.merz@bundestag.de,CDU,146,,Friedrich,Merz,Nordrhein-Westfalen
Jan Metzler,Herr,205 - Worms,jan.metzler@bundestag.de,CDU,205,,Jan,Metzler,Rheinland-Pfalz
Swantje Henrike Michaelsen,Frau,42 - Stadt Hannover II,swantje.michaelsen@bundestag.de,GRÜNE,42,,Swantje Henrike,Michaelsen,Niedersachsen
Kathrin Michel,Frau,155 - Bautzen I,kathrin.michel@bundestag.de,SPD,155,,Kathrin,Michel,Sachsen
Dr. Mathias Middelberg,Herr,39 - Stadt Osnabrück,mathias.middelberg@bundestag.de,CDU,39,Dr.,Mathias,Middelberg,Niedersachsen
Dr. Matthias Miersch,Herr,47 - Hannover-Land II,matthias.miersch@bundestag.de,SPD,47,Dr.,Matthias,Miersch,Niedersachsen
Matthias David Mieves,Herr,208 - Kaiserslautern,matthias.mieves@bundestag.de,SPD,208,,Matthias David,Mieves,Rheinland-Pfalz
Dr. Irene Mihalic,Frau,122 - Gelsenkirchen,irene.mihalic@bundestag.de,GRÜNE,122,Dr.,Irene,Mihalic,Nordrhein-Westfalen
Boris Mijatović,Herr,167 - Kassel,boris.mijatovic@bundestag.de,GRÜNE,167,,Boris,Mijatović,Hessen
Sahra Mirow,Frau,274 - Heidelberg,sahra.mirow@bundestag.de,DIE LINKE,274,,Sahra,Mirow,Baden-Württemberg
Claudia Moll,Frau,87 - Aachen II,claudia.moll@bundestag.de,SPD,87,,Claudia,Moll,Nordrhein-Westfalen
Christian Moser,Herr,213 - Freising,christian.moser@bundestag.de,CSU,213,,Christian,Moser,Bayern
Siemtje Möller,Frau,26 - Friesland – Wilhelmshaven – Wittmund,siemtje.moeller@bundestag.de,SPD,26,,Siemtje,Möller,Niedersachsen
Axel Müller,Herr,294 - Ravensburg,axel.mueller@bundestag.de,CDU,294,,Axel,Müller,Baden-Württemberg
Carsten Müller,Herr,50 - Braunschweig,carsten.mueller@bundestag.de,CDU,50,,Carsten,Müller,Niedersachsen
Claudia Müller,Frau,15 - Vorpommern-Rügen – Vorpommern-Greifswald I,claudia.mueller@bundestag.de,GRÜNE,15,,Claudia,Müller,Mecklenburg-Vorpommern
Florian Müller,Herr,148 - Olpe – Märkischer Kreis I,florian.mueller@bundestag.de,CDU,148,,Florian,Müller,Nordrhein-Westfalen
Sascha Müller,Herr,244 - Nürnberg-Süd,sascha.mueller@bundestag.de,GRÜNE,244,,Sascha,Müller,Bayern
Sepp Müller,Herr,70 - Anhalt – Dessau – Wittenberg,sepp.mueller@bundestag.de,CDU,70,,Sepp,Müller,Sachsen-Anhalt
Dr. Rolf Mützenich,Herr,94 - Köln III,rolf.muetzenich@bundestag.de,SPD,94,Dr.,Rolf,Mützenich,Nordrhein-Westfalen
Dr. Stefan Nacke,Herr,128 - Münster,stefan.nacke@bundestag.de,CDU,128,Dr.,Stefan,Nacke,Nordrhein-Westfalen
Sara Nanni,Frau,106 - Düsseldorf II,sara.nanni@bundestag.de,GRÜNE,106,,Sara,Nanni,Nordrhein-Westfalen
Christoph Naser,Herr,290 - Tübingen,christoph.naser@bundestag.de,CDU,290,,Christoph,Naser,Baden-Württemberg
Rasha Nasr,Frau,158 - Dresden I,rasha.nasr@bundestag.de,SPD,158,,Rasha,Nasr,Sachsen
Charlotte Antonia Neuhäuser,Frau,136 - Paderborn,charlotte.neuhaeuser@bundestag.de,DIE LINKE,136,,Charlotte Antonia,Neuhäuser,Nordrhein-Westfalen
Dr. Ophelia Nick,Frau,104 - Mettmann II,ophelia.nick@bundestag.de,GRÜNE,104,Dr.,Ophelia,Nick,Nordrhein-Westfalen
Dr. Konstantin von Notz,Herr,10 - Herzogtum Lauenburg – Stormarn-Süd,konstantin.notz@bundestag.de,GRÜNE,10,Dr.,Konstantin von,Notz,Schleswig-Holstein
Omid Nouripour,Herr,182 - Frankfurt am Main II,omid.nouripour@bundestag.de,GRÜNE,182,,Omid,Nouripour,Hessen
Wilfried Oellers,Herr,88 - Heinsberg,wilfried.oellers@bundestag.de,CDU,88,,Wilfried,Oellers,Nordrhein-Westfalen
Florian Oest,Herr,156 - Görlitz,florian.oest@bundestag.de,CDU,156,,Florian,Oest,Sachsen
Harald Orthey,Herr,203 - Montabaur,harald.orthey@bundestag.de,CDU,203,,Harald,Orthey,Rheinland-Pfalz
Josephine Ortleb,Frau,296 - Saarbrücken,josephine.ortleb@bundestag.de,SPD,296,,Josephine,Ortleb,Saarland
Josef Oster,Herr,198 - Koblenz,josef.oster@bundestag.de,CDU,198,,Josef,Oster,Rheinland-Pfalz
Henning Otte,Herr,44 - Celle – Uelzen,henning.otte@bundestag.de,CDU,44,,Henning,Otte,Niedersachsen
Karoline Otte,Frau,52 - Goslar – Northeim – Göttingen II,karoline.otte@bundestag.de,GRÜNE,52,,Karoline,Otte,Niedersachsen
Florian Oßner,Herr,227 - Landshut,florian.ossner@bundestag.de,CSU,227,,Florian,Oßner,Bayern
Dr. Christos Pantazis,Herr,50 - Braunschweig,christos.pantazis@bundestag.de,SPD,50,Dr.,Christos,Pantazis,Niedersachsen
Luigi Pantisano,Herr,258 - Stuttgart I,luigi.pantisano@bundestag.de,DIE LINKE,258,,Luigi,Pantisano,Baden-Württemberg
Dr. Thomas Pauls,Herr,176 - Wetterau I,thomas.pauls@bundestag.de,CDU,176,Dr.,Thomas,Pauls,Hessen
Lisa Paus,Frau,79 - Berlin-Charlottenburg-Wilmersdorf,lisa.paus@bundestag.de,GRÜNE,79,,Lisa,Paus,Berlin
Natalie Pawlik,Frau,176 - Wetterau I,natalie.pawlik@bundestag.de,SPD,176,,Natalie,Pawlik,Hessen
Jens Peick,Herr,141 - Dortmund I,jens.peick@bundestag.de,SPD,141,,Jens,Peick,Nordrhein-Westfalen
Sören Pellmann,Herr,152 - Leipzig II,soeren.pellmann@bundestag.de,DIE LINKE,152,,Sören,Pellmann,Sachsen
Dr. Paula Piechotta,Frau,152 - Leipzig II,paula.piechotta@bundestag.de,GRÜNE,152,Dr.,Paula,Piechotta,Sachsen
Dr. Stephan Pilsinger,Herr,219 - München-West/Mitte,stephan.pilsinger@bundestag.de,CSU,219,Dr.,Stephan,Pilsinger,Bayern
Boris Pistorius,Herr,42 - Stadt Hannover II,boris.pistorius@bundestag.de,SPD,42,,Boris,Pistorius,Niedersachsen
Dr. Christoph Ploß,Herr,21 - Hamburg-Nord,christoph.ploss@bundestag.de,CDU,21,Dr.,Christoph,Ploß,Hamburg
Dr. Martin Plum,Herr,110 - Viersen,martin.plum@bundestag.de,CDU,110,Dr.,Martin,Plum,Nordrhein-Westfalen
Jan-Wilhelm Pohlmann,Herr,166 - Waldeck,jan-wilhelm.pohlmann@bundestag.de,CDU,166,,Jan-Wilhelm,Pohlmann,Hessen
Filiz Polat,Frau,38 - Osnabrück-Land,filiz.polat@bundestag.de,GRÜNE,38,,Filiz,Polat,Niedersachsen
Sabine Poschmann,Frau,142 - Dortmund II,sabine.poschmann@bundestag.de,SPD,142,,Sabine,Poschmann,Nordrhein-Westfalen
Dr. David Preisendanz,Herr,261 - Esslingen,david.preisendanz@bundestag.de,CDU,261,Dr.,David,Preisendanz,Baden-Württemberg
Oliver Pöpsel,Herr,145 - Soest,oliver.poepsel@bundestag.de,CDU,145,,Oliver,Pöpsel,Nordrhein-Westfalen
Daniela Raab,Frau,221 - Rosenheim,daniela.raab@bundestag.de,CSU,221,,Daniela,Raab,Bayern
Martin Rabanus,Herr,177 - Rheingau-Taunus – Limburg,martin.rabanus@bundestag.de,SPD,177,,Martin,Rabanus,Hessen
Thomas Rachel,Herr,89 - Düren,thomas.rachel@bundestag.de,CDU,89,,Thomas,Rachel,Nordrhein-Westfalen
Kerstin Radomski,Frau,113 - Krefeld II – Wesel II,kerstin.radomski@bundestag.de,CDU,113,,Kerstin,Radomski,Nordrhein-Westfalen
Alexander Radwan,Herr,222 - Bad Tölz-Wolfratshausen – Miesbach,alexander.radwan@bundestag.de,CSU,222,,Alexander,Radwan,Bayern
Alois Rainer,Herr,230 - Straubing,alois.rainer@bundestag.de,CSU,230,,Alois,Rainer,Bayern
Bodo Ramelow,Herr,192 - Erfurt – Weimar – Weimarer Land II,bodo.ramelow@bundestag.de,DIE LINKE,192,,Bodo,Ramelow,Thüringen
Pascal Reddig,Herr,179 - Hanau,pascal.reddig@bundestag.de,CDU,179,,Pascal,Reddig,Hessen
Henning Rehbaum,Herr,129 - Warendorf,henning.rehbaum@bundestag.de,CDU,129,,Henning,Rehbaum,Nordrhein-Westfalen
Truels Reichardt,Herr,2 - Nordfriesland – Dithmarschen Nord,truels.reichardt@bundestag.de,SPD,2,,Truels,Reichardt,Schleswig-Holstein
Dr. Markus Reichel,Herr,158 - Dresden I,markus.reichel@bundestag.de,CDU,158,Dr.,Markus,Reichel,Sachsen
Heidi Reichinnek,Frau,39 - Stadt Osnabrück,heidi.reichinnek@bundestag.de,DIE LINKE,39,,Heidi,Reichinnek,Niedersachsen
Dr. Anja Reinalter,Frau,292 - Biberach,anja.reinalter@bundestag.de,GRÜNE,292,Dr.,Anja,Reinalter,Baden-Württemberg
Lea Reisner,Frau,93 - Köln II,lea.reisner@bundestag.de,DIE LINKE,93,,Lea,Reisner,Nordrhein-Westfalen
Sylvia Rietenberg,Frau,128 - Münster,sylvia.rietenberg@bundestag.de,GRÜNE,128,,Sylvia,Rietenberg,Nordrhein-Westfalen
Daniel Rinkert,Herr,107 - Neuss I,daniel.rinkert@bundestag.de,SPD,107,,Daniel,Rinkert,Nordrhein-Westfalen
Dennis Rohde,Herr,27 - Oldenburg – Ammerland,dennis.rohde@bundestag.de,SPD,27,,Dennis,Rohde,Niedersachsen
Lars Rohwer,Herr,159 - Dresden II – Bautzen II,lars.rohwer@bundestag.de,CDU,159,,Lars,Rohwer,Sachsen
Sebastian Roloff,Herr,218 - München-Süd,sebastian.roloff@bundestag.de,SPD,218,,Sebastian,Roloff,Bayern
Claudia Roth,Frau,251 - Augsburg-Stadt,claudia.roth@bundestag.de,GRÜNE,251,,Claudia,Roth,Bayern
Johannes Rothenberger,Herr,284 - Offenburg,johannes.rothenberger@bundestag.de,CDU,284,,Johannes,Rothenberger,Baden-Württemberg
Dr. Philipp Rottwilm,Herr,169 - Schwalm-Eder,philipp.rottwilm@bundestag.de,SPD,169,Dr.,Philipp,Rottwilm,Hessen
Stefan Rouenhoff,Herr,111 - Kleve,stefan.rouenhoff@bundestag.de,CDU,111,,Stefan,Rouenhoff,Nordrhein-Westfalen
Dr. Thorsten Rudolph,Herr,198 - Koblenz,thorsten.rudolph@bundestag.de,SPD,198,Dr.,Thorsten,Rudolph,Rheinland-Pfalz
Daniela Rump,Frau,48 - Hildesheim,daniela.rump@bundestag.de,SPD,48,,Daniela,Rump,Niedersachsen
Albert Rupprecht,Herr,234 - Weiden,albert.rupprecht@bundestag.de,CSU,234,,Albert,Rupprecht,Bayern
Dr. Norbert Röttgen,Herr,97 - Rhein-Sieg-Kreis II,norbert.roettgen@bundestag.de,CDU,97,Dr.,Norbert,Röttgen,Nordrhein-Westfalen
Thomas Röwekamp,Herr,54 - Bremen I,thomas.roewekamp@bundestag.de,CDU,54,,Thomas,Röwekamp,Bremen
Corinna Rüffer,Frau,202 - Trier,corinna.rueffer@bundestag.de,GRÜNE,202,,Corinna,Rüffer,Rheinland-Pfalz
Bernd Rützel,Herr,248 - Main-Spessart,bernd.ruetzel@bundestag.de,SPD,248,,Bernd,Rützel,Bayern
Johann Saathoff,Herr,24 - Aurich – Emden,johann.saathoff@bundestag.de,SPD,24,,Johann,Saathoff,Niedersachsen
Kassem Taher Saleh,Herr,158 - Dresden I,kassem.tahersaleh@bundestag.de,GRÜNE,158,,Kassem Taher,Saleh,Sachsen
Zada Salihović,Frau,,zada.salihovic@bundestag.de,DIE LINKE,,,Zada,Salihović,Sachsen
Catarina dos Santos Firnhaber,Frau,87 - Aachen II,catarina.santosfirnhaber@bundestag.de,CDU,87,,Catarina dos,Santos Firnhaber,Nordrhein-Westfalen
Carl-Philipp Sassenrath,Herr,107 - Neuss I,carl-philipp.sassenrath@bundestag.de,CDU,107,,Carl-Philipp,Sassenrath,Nordrhein-Westfalen
Ulle Schauws,Frau,113 - Krefeld II – Wesel II,ulle.schauws@bundestag.de,GRÜNE,113,,Ulle,Schauws,Nordrhein-Westfalen
Dr. Nina Scheer,Frau,10 - Herzogtum Lauenburg – Stormarn-Süd,nina.scheer@bundestag.de,SPD,10,Dr.,Nina,Scheer,Schleswig-Holstein
Dr. Christiane Schenderlein,Frau,150 - Nordsachsen,christiane.schenderlein@bundestag.de,CDU,150,Dr.,Christiane,Schenderlein,Sachsen
David Schliesing,Herr,67 - Börde – Salzlandkreis,david.schliesing@bundestag.de,DIE LINKE,67,,David,Schliesing,Sachsen-Anhalt
Christoph Schmid,Herr,253 - Donau-Ries,christoph.schmid@bundestag.de,SPD,253,,Christoph,Schmid,Bayern
Dr. Nils Schmid,Herr,262 - Nürtingen,nils.schmid@bundestag.de,SPD,262,Dr.,Nils,Schmid,Baden-Württemberg
Dagmar Schmidt,Frau,171 - Lahn-Dill,dagmar.schmidt@bundestag.de,SPD,171,,Dagmar,Schmidt,Hessen
Henri Schmidt,Herr,10 - Herzogtum Lauenburg – Stormarn-Süd,henri.schmidt@bundestag.de,CDU,10,,Henri,Schmidt,Schleswig-Holstein
Sebastian Schmidt,Herr,9 - Ostholstein – Stormarn-Nord,sebastian.schmidt@bundestag.de,CDU,9,,Sebastian,Schmidt,Schleswig-Holstein
Stefan Schmidt,Herr,232 - Regensburg,stefan.schmidt@bundestag.de,GRÜNE,232,,Stefan,Schmidt,Bayern
Uwe Schmidt,Herr,55 - Bremen II – Bremerhaven,uwe.schmidt@bundestag.de,SPD,55,,Uwe,Schmidt,Bremen
Ronja Schmitt,Frau,291 - Ulm,ronja.schmitt@bundestag.de,CDU,291,,Ronja,Schmitt,Baden-Württemberg
Carsten Schneider,Herr,192 - Erfurt – Weimar – Weimarer Land II,carsten.schneider@bundestag.de,SPD,192,,Carsten,Schneider,Thüringen
Julia Schneider,Frau,75 - Berlin-Pankow,julia.schneider@bundestag.de,GRÜNE,75,,Julia,Schneider,Berlin
Patrick Schnieder,Herr,201 - Bitburg,patrick.schnieder@bundestag.de,CDU,201,,Patrick,Schnieder,Rheinland-Pfalz
Olaf Scholz,Herr,61 - Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,olaf.scholz@bundestag.de,SPD,61,,Olaf,Scholz,Brandenburg
Johannes Schraps,Herr,46 - Hameln-Pyrmont – Holzminden,johannes.schraps@bundestag.de,SPD,46,,Johannes,Schraps,Niedersachsen
Felix Schreiner,Herr,288 - Waldshut,felix.schreiner@bundestag.de,CDU,288,,Felix,Schreiner,Baden-Württemberg
Michael Schrodi,Herr,214 - Fürstenfeldbruck,michael.schrodi@bundestag.de,SPD,214,,Michael,Schrodi,Bayern
Lisa Schubert,Sehr geehrte*r,106 - Düsseldorf II,lisa.schubert@bundestag.de,DIE LINKE,106,,Lisa,Schubert,Nordrhein-Westfalen
Marvin Schulz,Herr,76 - Berlin-Reinickendorf,marvin.schulz@bundestag.de,CDU,76,,Marvin,Schulz,Berlin
Svenja Schulze,Frau,128 - Münster,svenja.schulze@bundestag.de,SPD,128,,Svenja,Schulze,Nordrhein-Westfalen
Frank Schwabe,Herr,120 - Recklinghausen I,frank.schwabe@bundestag.de,SPD,120,,Frank,Schwabe,Nordrhein-Westfalen
Stefan Schwartze,Herr,132 - Herford – Minden-Lübbecke II,stefan.schwartze@bundestag.de,SPD,132,,Stefan,Schwartze,Nordrhein-Westfalen
Andreas Schwarz,Herr,235 - Bamberg,andreas.schwarz@bundestag.de,SPD,235,,Andreas,Schwarz,Bayern
Rita Schwarzelühr-Sutter,Frau,288 - Waldshut,rita.schwarzeluehr-sutter@bundestag.de,SPD,288,,Rita,Schwarzelühr-Sutter,Baden-Württemberg
