Name,Anrede,Bundesland,Wahlkreis,Email,Partei
Caren Lay,Frau,Sachsen,155 - Bautzen I,caren.lay@bundestag.de,DIE LINKE
Jens Lehmann,Herr,Sachsen,151 - Leipzig I,jens.lehmann@bundestag.de,CDU
Sven Lehmann,Herr,Nordrhein-Westfalen,93 - Köln II,sven.lehmann@bundestag.de,GRÜNE
Steffi Lemke,Frau,Sachsen-Anhalt,70 - Anhalt – Dessau – Wittenberg,steffi.lemke@bundestag.de,GRÜNE
Sonja Lemke,Frau,Nordrhein-Westfalen,142 - Dortmund II,sonja.lemke@bundestag.de,DIE LINKE
Rebecca Lenhard,Frau,Bayern,243 - Nürnberg-Nord,rebecca.lenhard@bundestag.de,GRÜNE
Dr. Andreas Lenz,Herr,Bayern,212 - Erding – Ebersberg,andreas.lenz@bundestag.de,CSU
Esra Limbacher,Herr,Saarland,299 - Homburg,esra.limbacher@bundestag.de,SPD
Helge Limburg,Herr,Niedersachsen,46 - Hameln-Pyrmont – Holzminden,helge.limburg@bundestag.de,GRÜNE
Helge Lindh,Herr,Nordrhein-Westfalen,101 - Wuppertal I,helge.lindh@bundestag.de,SPD
Andrea Lindholz,Frau,Bayern,246 - Aschaffenburg,andrea.lindholz@bundestag.de,CSU
Dr. Carsten Linnemann,Herr,Nordrhein-Westfalen,136 - Paderborn,carsten.linnemann@bundestag.de,CDU
Patricia Lips,Frau,Hessen,186 - Odenwald,patricia.lips@bundestag.de,CDU
Denise Loop,Frau,Schleswig-Holstein,2 - Nordfriesland – Dithmarschen Nord,denise.loop@bundestag.de,GRÜNE
Max Lucks,Herr,Nordrhein-Westfalen,139 - Bochum I,max.lucks@bundestag.de,GRÜNE
Dr. Jan-Marco Luczak,Herr,Berlin,80 - Berlin-Tempelhof-Schöneberg,jan-marco.luczak@bundestag.de,CDU
Daniela Ludwig,Frau,Bayern,221 - Rosenheim,daniela.ludwig@bundestag.de,CSU
Dr. Saskia Ludwig,Frau,Brandenburg,60 - BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,saskia.ludwig@bundestag.de,CDU
Bettina Lugk,Frau,Nordrhein-Westfalen,149 - Märkischer Kreis II,bettina.lugk@bundestag.de,SPD
Dr. Andrea Lübcke,Frau,Brandenburg,62 - Dahme-Spreewald – Teltow-Fläming III,andrea.luebcke@bundestag.de,GRÜNE
Dr. Anna Lührmann,Frau,Hessen,180 - Main-Taunus,anna.luehrmann@bundestag.de,GRÜNE
Dr. Tanja Machalet,Frau,Rheinland-Pfalz,203 - Montabaur,tanja.machalet@bundestag.de,SPD
Klaus Mack,Herr,Baden-Württemberg,280 - Calw,klaus.mack@bundestag.de,CDU
Isabel Mackensen-Geis,Frau,Rheinland-Pfalz,207 - Neustadt – Speyer,isabel.mackensen-geis@bundestag.de,SPD
Holger Mann,Herr,Sachsen,151 - Leipzig I,holger.mann@bundestag.de,SPD
Parsa Marvi,Herr,Baden-Württemberg,271 - Karlsruhe-Stadt,parsa.marvi@bundestag.de,SPD
Katja Mast,Frau,Baden-Württemberg,279 - Pforzheim,katja.mast@bundestag.de,SPD
Andreas Mattfeldt,Herr,Niedersachsen,34 - Osterholz – Verden,andreas.mattfeldt@bundestag.de,CDU
Stephan Mayer,Herr,Bayern,211 - Altötting,stephan.mayer@bundestag.de,CSU
Dr. Zoe Mayer,Frau,Baden-Württemberg,271 - Karlsruhe-Stadt,zoe.mayer@bundestag.de,GRÜNE
Volker Mayer-Lay,Herr,Baden-Württemberg,293 - Bodensee,volker.mayer-lay@bundestag.de,CDU
Tamara Mazzi,Frau,Schleswig-Holstein,5 - Kiel,tamara.mazzi@bundestag.de,DIE LINKE
Pascal Meiser,Herr,Berlin,82 - Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,pascal.meiser@bundestag.de,DIE LINKE
Dr. Michael Meister,Herr,Hessen,187 - Bergstraße,michael.meister@bundestag.de,CDU
Stella Merendino,Frau,Berlin,74 - Berlin-Mitte,stella.merendino@bundestag.de,DIE LINKE
Friedrich Merz,Herr,Nordrhein-Westfalen,146 - Hochsauerlandkreis,friedrich.merz@bundestag.de,CDU
Jan Metzler,Herr,Rheinland-Pfalz,205 - Worms,jan.metzler@bundestag.de,CDU
Swantje Henrike Michaelsen,Frau,Niedersachsen,42 - Stadt Hannover II,swantje.michaelsen@bundestag.de,GRÜNE
Kathrin Michel,Frau,Sachsen,155 - Bautzen I,kathrin.michel@bundestag.de,SPD
Dr. Mathias Middelberg,Herr,Niedersachsen,39 - Stadt Osnabrück,mathias.middelberg@bundestag.de,CDU
Dr. Matthias Miersch,Herr,Niedersachsen,47 - Hannover-Land II,matthias.miersch@bundestag.de,SPD
Matthias David Mieves,Herr,Rheinland-Pfalz,208 - Kaiserslautern,matthias.mieves@bundestag.de,SPD
Dr. Irene Mihalic,Frau,Nordrhein-Westfalen,122 - Gelsenkirchen,irene.mihalic@bundestag.de,GRÜNE
Boris Mijatović,Herr,Hessen,167 - Kassel,boris.mijatovic@bundestag.de,GRÜNE
Sahra Mirow,Frau,Baden-Württemberg,274 - Heidelberg,sahra.mirow@bundestag.de,DIE LINKE
Claudia Moll,Frau,Nordrhein-Westfalen,87 - Aachen II,claudia.moll@bundestag.de,SPD
Christian Moser,Herr,Bayern,213 - Freising,christian.moser@bundestag.de,CSU
Siemtje Möller,Frau,Niedersachsen,26 - Friesland – Wilhelmshaven – Wittmund,siemtje.moeller@bundestag.de,SPD
Carsten Müller,Herr,Niedersachsen,50 - Braunschweig,carsten.mueller@bundestag.de,CDU
Axel Müller,Herr,Baden-Württemberg,294 - Ravensburg,axel.mueller@bundestag.de,CDU
Claudia Müller,Frau,Mecklenburg-Vorpommern,15 - Vorpommern-Rügen – Vorpommern-Greifswald I,claudia.mueller@bundestag.de,GRÜNE
Sepp Müller,Herr,Sachsen-Anhalt,70 - Anhalt – Dessau – Wittenberg,sepp.mueller@bundestag.de,CDU
Florian Müller,Herr,Nordrhein-Westfalen,148 - Olpe – Märkischer Kreis I,florian.mueller@bundestag.de,CDU
Sascha Müller,Herr,Bayern,244 - Nürnberg-Süd,sascha.mueller@bundestag.de,GRÜNE
Dr. Rolf Mützenich,Herr,Nordrhein-Westfalen,94 - Köln III,rolf.muetzenich@bundestag.de,SPD
Dr. Stefan Nacke,Herr,Nordrhein-Westfalen,128 - Münster,stefan.nacke@bundestag.de,CDU
Sara Nanni,Frau,Nordrhein-Westfalen,106 - Düsseldorf II,sara.nanni@bundestag.de,GRÜNE
Rasha Nasr,Frau,Sachsen,158 - Dresden I,rasha.nasr@bundestag.de,SPD
Charlotte Antonia Neuhäuser,Frau,Nordrhein-Westfalen,136 - Paderborn,charlotte.neuhaeuser@bundestag.de,DIE LINKE
Dr. Ophelia Nick,Frau,Nordrhein-Westfalen,104 - Mettmann II,ophelia.nick@bundestag.de,GRÜNE
Dr. Konstantin von Notz,Herr,Schleswig-Holstein,10 - Herzogtum Lauenburg – Stormarn-Süd,konstantin.notz@bundestag.de,GRÜNE
Omid Nouripour,Herr,Hessen,182 - Frankfurt am Main II,omid.nouripour@bundestag.de,GRÜNE
Wilfried Oellers,Herr,Nordrhein-Westfalen,88 - Heinsberg,wilfried.oellers@bundestag.de,CDU
Florian Oest,Herr,Sachsen,156 - Görlitz,florian.oest@bundestag.de,CDU
Harald Orthey,Herr,Rheinland-Pfalz,203 - Montabaur,harald.orthey@bundestag.de,CDU
Josephine Ortleb,Frau,Saarland,296 - Saarbrücken,josephine.ortleb@bundestag.de,SPD
Josef Oster,Herr,Rheinland-Pfalz,198 - Koblenz,josef.oster@bundestag.de,CDU
Henning Otte,Herr,Niedersachsen,44 - Celle – Uelzen,henning.otte@bundestag.de,CDU
Karoline Otte,Frau,Niedersachsen,52 - Goslar – Northeim – Göttingen II,karoline.otte@bundestag.de,GRÜNE
Florian Oßner,Herr,Bayern,227 - Landshut,florian.ossner@bundestag.de,CSU
Dr. Christos Pantazis,Herr,Niedersachsen,50 - Braunschweig,christos.pantazis@bundestag.de,SPD
Luigi Pantisano,Herr,Baden-Württemberg,258 - Stuttgart I,luigi.pantisano@bundestag.de,DIE LINKE
Dr. Thomas Pauls,Herr,Hessen,176 - Wetterau I,thomas.pauls@bundestag.de,CDU
Lisa Paus,Frau,Berlin,79 - Berlin-Charlottenburg-Wilmersdorf,lisa.paus@bundestag.de,GRÜNE
Natalie Pawlik,Frau,Hessen,176 - Wetterau I,natalie.pawlik@bundestag.de,SPD
Jens Peick,Herr,Nordrhein-Westfalen,141 - Dortmund I,jens.peick@bundestag.de,SPD
Sören Pellmann,Herr,Sachsen,152 - Leipzig II,soeren.pellmann@bundestag.de,DIE LINKE
Dr. Paula Piechotta,Frau,Sachsen,152 - Leipzig II,paula.piechotta@bundestag.de,GRÜNE
Dr. Stephan Pilsinger,Herr,Bayern,219 - München-West/Mitte,stephan.pilsinger@bundestag.de,CSU
Boris Pistorius,Herr,Niedersachsen,42 - Stadt Hannover II,boris.pistorius@bundestag.de,SPD
Dr. Christoph Ploß,Herr,Hamburg,21 - Hamburg-Nord,christoph.ploss@bundestag.de,CDU
Dr. Martin Plum,Herr,Nordrhein-Westfalen,110 - Viersen,martin.plum@bundestag.de,CDU
Jan-Wilhelm Pohlmann,Herr,Hessen,166 - Waldeck,jan-wilhelm.pohlmann@bundestag.de,CDU
Filiz Polat,Frau,Niedersachsen,38 - Osnabrück-Land,filiz.polat@bundestag.de,GRÜNE
Sabine Poschmann,Frau,Nordrhein-Westfalen,142 - Dortmund II,sabine.poschmann@bundestag.de,SPD
Dr. David Preisendanz,Herr,Baden-Württemberg,261 - Esslingen,david.preisendanz@bundestag.de,CDU
Oliver Pöpsel,Herr,Nordrhein-Westfalen,145 - Soest,oliver.poepsel@bundestag.de,CDU
Martin Rabanus,Herr,Hessen,177 - Rheingau-Taunus – Limburg,martin.rabanus@bundestag.de,SPD
Thomas Rachel,Herr,Nordrhein-Westfalen,89 - Düren,thomas.rachel@bundestag.de,CDU
Kerstin Radomski,Frau,Nordrhein-Westfalen,113 - Krefeld II – Wesel II,kerstin.radomski@bundestag.de,CDU
Alexander Radwan,Herr,Bayern,222 - Bad Tölz-Wolfratshausen – Miesbach,alexander.radwan@bundestag.de,CSU
Alois Rainer,Herr,Bayern,230 - Straubing,alois.rainer@bundestag.de,CSU
Bodo Ramelow,Herr,Thüringen,192 - Erfurt – Weimar – Weimarer Land II,bodo.ramelow@bundestag.de,DIE LINKE
Pascal Reddig,Herr,Hessen,179 - Hanau,pascal.reddig@bundestag.de,CDU
Henning Rehbaum,Herr,Nordrhein-Westfalen,129 - Warendorf,henning.rehbaum@bundestag.de,CDU
Truels Reichardt,Herr,Schleswig-Holstein,2 - Nordfriesland – Dithmarschen Nord,truels.reichardt@bundestag.de,SPD
Dr. Markus Reichel,Herr,Sachsen,158 - Dresden I,markus.reichel@bundestag.de,CDU
Heidi Reichinnek,Frau,Niedersachsen,39 - Stadt Osnabrück,heidi.reichinnek@bundestag.de,DIE LINKE
Dr. Prof. Dr. Anja Reinalter,Frau,Baden-Württemberg,292 - Biberach,anja.reinalter@bundestag.de,GRÜNE
Lea Reisner,Frau,Nordrhein-Westfalen,93 - Köln II,lea.reisner@bundestag.de,DIE LINKE
Sylvia Rietenberg,Frau,Nordrhein-Westfalen,128 - Münster,sylvia.rietenberg@bundestag.de,GRÜNE
Daniel Rinkert,Herr,Nordrhein-Westfalen,107 - Neuss I,daniel.rinkert@bundestag.de,SPD
Dennis Rohde,Herr,Niedersachsen,27 - Oldenburg – Ammerland,dennis.rohde@bundestag.de,SPD
Lars Rohwer,Herr,Sachsen,159 - Dresden II – Bautzen II,lars.rohwer@bundestag.de,CDU
Sebastian Roloff,Herr,Bayern,218 - München-Süd,sebastian.roloff@bundestag.de,SPD
Claudia Roth,Frau,Bayern,251 - Augsburg-Stadt,claudia.roth@bundestag.de,GRÜNE
Johannes Rothenberger,Herr,Baden-Württemberg,284 - Offenburg,johannes.rothenberger@bundestag.de,CDU
Dr. Philipp Rottwilm,Herr,Hessen,169 - Schwalm-Eder,philipp.rottwilm@bundestag.de,SPD
Stefan Rouenhoff,Herr,Nordrhein-Westfalen,111 - Kleve,stefan.rouenhoff@bundestag.de,CDU
Dr. Thorsten Rudolph,Herr,Rheinland-Pfalz,198 - Koblenz,thorsten.rudolph@bundestag.de,SPD
Daniela Rump,Frau,Niedersachsen,48 - Hildesheim,daniela.rump@bundestag.de,SPD
Albert Rupprecht,Herr,Bayern,234 - Weiden,albert.rupprecht@bundestag.de,CSU
Dr. Norbert Röttgen,Herr,Nordrhein-Westfalen,97 - Rhein-Sieg-Kreis II,norbert.roettgen@bundestag.de,CDU
Thomas Röwekamp,Herr,Bremen,54 - Bremen I,thomas.roewekamp@bundestag.de,CDU
Corinna Rüffer,Frau,Rheinland-Pfalz,202 - Trier,corinna.rueffer@bundestag.de,GRÜNE
Bernd Rützel,Herr,Bayern,248 - Main-Spessart,bernd.ruetzel@bundestag.de,SPD
Johann Saathoff,Herr,Niedersachsen,24 - Aurich – Emden,johann.saathoff@bundestag.de,SPD
Zada Salihović,Frau,Sachsen,Landesliste Sachsen,zada.salihovic@bundestag.de,DIE LINKE
Catarina dos Santos-Wintz,Frau,Nordrhein-Westfalen,87 - Aachen II,catarina.santos-wintz@bundestag.de,CDU
Carl-Philipp Sassenrath,Herr,Nordrhein-Westfalen,107 - Neuss I,carl-philipp.sassenrath@bundestag.de,CDU
Ulle Schauws,Frau,Nordrhein-Westfalen,113 - Krefeld II – Wesel II,ulle.schauws@bundestag.de,GRÜNE
Dr. Nina Scheer,Frau,Schleswig-Holstein,10 - Herzogtum Lauenburg – Stormarn-Süd,nina.scheer@bundestag.de,SPD
Dr. Christiane Schenderlein,Frau,Sachsen,150 - Nordsachsen,christiane.schenderlein@bundestag.de,CDU
David Schliesing,Herr,Sachsen-Anhalt,67 - Börde – Salzlandkreis,david.schliesing@bundestag.de,DIE LINKE
Dr. Nils Schmid,Herr,Baden-Württemberg,262 - Nürtingen,nils.schmid@bundestag.de,SPD
Christoph Schmid,Herr,Bayern,253 - Donau-Ries,christoph.schmid@bundestag.de,SPD
Dagmar Schmidt,Frau,Hessen,171 - Lahn-Dill,dagmar.schmidt@bundestag.de,SPD
Stefan Schmidt,Herr,Bayern,232 - Regensburg,stefan.schmidt@bundestag.de,GRÜNE
Uwe Schmidt,Herr,Bremen,55 - Bremen II – Bremerhaven,uwe.schmidt@bundestag.de,SPD
Henri Schmidt,Herr,Schleswig-Holstein,10 - Herzogtum Lauenburg – Stormarn-Süd,henri.schmidt@bundestag.de,CDU
Sebastian Schmidt,Herr,Schleswig-Holstein,9 - Ostholstein – Stormarn-Nord,sebastian.schmidt@bundestag.de,CDU
Carsten Schneider,Herr,Thüringen,192 - Erfurt – Weimar – Weimarer Land II,carsten.schneider@bundestag.de,SPD
Julia Schneider,Frau,Berlin,75 - Berlin-Pankow,julia.schneider@bundestag.de,GRÜNE
Patrick Schnieder,Herr,Rheinland-Pfalz,201 - Bitburg,patrick.schnieder@bundestag.de,CDU
Olaf Scholz,Herr,Brandenburg,61 - Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,olaf.scholz@bundestag.de,SPD
Johannes Schraps,Herr,Niedersachsen,46 - Hameln-Pyrmont – Holzminden,johannes.schraps@bundestag.de,SPD
Felix Schreiner,Herr,Baden-Württemberg,288 - Waldshut,felix.schreiner@bundestag.de,CDU
Michael Schrodi,Herr,Bayern,214 - Fürstenfeldbruck,michael.schrodi@bundestag.de,SPD
Lisa Schubert,,Nordrhein-Westfalen,106 - Düsseldorf II,lisa.schubert@bundestag.de,DIE LINKE
Marvin Schulz,Herr,Berlin,76 - Berlin-Reinickendorf,marvin.schulz@bundestag.de,CDU
Svenja Schulze,Frau,Nordrhein-Westfalen,128 - Münster,svenja.schulze@bundestag.de,SPD
Frank Schwabe,Herr,Nordrhein-Westfalen,120 - Recklinghausen I,frank.schwabe@bundestag.de,SPD
Stefan Schwartze,Herr,Nordrhein-Westfalen,132 - Herford – Minden-Lübbecke II,stefan.schwartze@bundestag.de,SPD
Andreas Schwarz,Herr,Bayern,235 - Bamberg,andreas.schwarz@bundestag.de,SPD
Rita Schwarzelühr-Sutter,Frau,Baden-Württemberg,288 - Waldshut,rita.schwarzeluehr-sutter@bundestag.de,SPD
Ines Schwerdtner,Frau,Berlin,85 - Berlin-Lichtenberg,ines.schwerdtner@bundestag.de,DIE LINKE
Jamila Schäfer,Frau,Bayern,218 - München-Süd,jamila.schaefer@bundestag.de,GRÜNE
Dr. Sebastian Schäfer,Herr,Baden-Württemberg,261 - Esslingen,sebastian.schaefer@bundestag.de,GRÜNE
Johannes Schätzl,Herr,Bayern,228 - Passau,johannes.schaetzl@bundestag.de,SPD
Marlene Schönberger,Frau,Bayern,229 - Rottal-Inn,marlene.schoenberger@bundestag.de,GRÜNE
Evelyn Schötz,Frau,Bayern,245 - Roth,evelyn.schoetz@bundestag.de,DIE LINKE
Stefan Seidler,Herr,Schleswig-Holstein,1 - Flensburg – Schleswig,stefan.seidler@bundestag.de,SSW
Detlef Seif,Herr,Nordrhein-Westfalen,91 - Euskirchen – Rhein-Erft-Kreis II,detlef.seif@bundestag.de,CDU
Nora Seitz,Frau,Sachsen,161 - Chemnitz,nora.seitz@bundestag.de,CDU
Dr. Lina Seitzl,Frau,Baden-Württemberg,287 - Konstanz,lina.seitzl@bundestag.de,SPD
Thomas Silberhorn,Herr,Bayern,235 - Bamberg,thomas.silberhorn@bundestag.de,CSU
Björn Simon,Herr,Hessen,184 - Offenbach,bjoern.simon@bundestag.de,CDU
Nyke Slawik,Frau,Nordrhein-Westfalen,100 - Leverkusen – Köln IV,nyke.slawik@bundestag.de,GRÜNE
Tino Sorge,Herr,Sachsen-Anhalt,69 - Magdeburg,tino.sorge@bundestag.de,CDU
Jens Spahn,Herr,Nordrhein-Westfalen,123 - Steinfurt I – Borken I,jens.spahn@bundestag.de,CDU
Svenja Stadler,Frau,Niedersachsen,36 - Harburg,svenja.stadler@bundestag.de,SPD
Katrin Staffler,Frau,Bayern,214 - Fürstenfeldbruck,katrin.staffler@bundestag.de,CSU
Julia-Christina Stange,Frau,Rheinland-Pfalz,205 - Worms,julia-christina.stange@bundestag.de,DIE LINKE
Dr. Till Steffen,Herr,Hamburg,20 - Hamburg-Eimsbüttel,till.steffen@bundestag.de,GRÜNE
Dr. Wolfgang Stefinger,Herr,Bayern,217 - München-Ost,wolfgang.stefinger@bundestag.de,CSU
Albert Stegemann,Herr,Niedersachsen,31 - Mittelems,albert.stegemann@bundestag.de,CDU
Dr. Ralf Stegner,Herr,Schleswig-Holstein,7 - Pinneberg,ralf.stegner@bundestag.de,SPD
Sandra Stein,Frau,Nordrhein-Westfalen,146 - Hochsauerlandkreis,sandra.stein@bundestag.de,GRÜNE
Sebastian Steineke,Herr,Brandenburg,56 - Prignitz – Ostprignitz-Ruppin – Havelland I,sebastian.steineke@bundestag.de,CDU
Johannes Steiniger,Herr,Rheinland-Pfalz,207 - Neustadt – Speyer,johannes.steiniger@bundestag.de,CDU
Hanna Steinmüller,Frau,Berlin,74 - Berlin-Mitte,hanna.steinmueller@bundestag.de,GRÜNE
Christian Frhr. von Stetten,Herr,Baden-Württemberg,268 - Schwäbisch Hall – Hohenlohe,christian.stetten@bundestag.de,CDU
Dieter Stier,Herr,Sachsen-Anhalt,72 - Burgenland – Saalekreis,dieter.stier@bundestag.de,CDU
Stephan Stracke,Herr,Bayern,257 - Ostallgäu,stephan.stracke@bundestag.de,CSU
Dr. Katja Strauss-Köster,Frau,Nordrhein-Westfalen,138 - Ennepe-Ruhr-Kreis II,katja.strauss-koester@bundestag.de,CDU
Dr. Prof. Dr. Hendrik Streeck,Herr,Nordrhein-Westfalen,95 - Bonn,hendrik.streeck@bundestag.de,CDU
Christina Stumpp,Frau,Baden-Württemberg,264 - Waiblingen,christina.stumpp@bundestag.de,CDU
Ruppert Stüwe,Herr,Berlin,78 - Berlin-Steglitz-Zehlendorf,ruppert.stuewe@bundestag.de,SPD
Kassem Taher Saleh,Herr,Sachsen,158 - Dresden I,kassem.tahersaleh@bundestag.de,GRÜNE
Vivian Tauschwitz,Frau,Niedersachsen,35 - Rotenburg I – Heidekreis,vivian.tauschwitz@bundestag.de,CDU
Awet Tesfaiesus,Frau,Hessen,168 - Werra-Meißner – Hersfeld-Rotenburg,awet.tesfaiesus@bundestag.de,GRÜNE
Roland Theis,Herr,Saarland,298 - St. Wendel,roland.theis@bundestag.de,CDU
Dr. Prof. Dr. Hans Theiss,Herr,Bayern,216 - München-Nord,hans.theiss@bundestag.de,CSU
Michael Thews,Herr,Nordrhein-Westfalen,144 - Hamm – Unna II,michael.thews@bundestag.de,SPD
Ulrich Thoden,Herr,Nordrhein-Westfalen,127 - Steinfurt III,ulrich.thoden@bundestag.de,DIE LINKE
Alexander Throm,Herr,Baden-Württemberg,267 - Heilbronn,alexander.throm@bundestag.de,CDU
Astrid Timmermann-Fechter,Frau,Nordrhein-Westfalen,117 - Mülheim – Essen I,astrid.timmermann-fechter@bundestag.de,CDU
Gerhard Trabert,Herr,Rheinland-Pfalz,204 - Mainz,gerhard.trabert@bundestag.de,DIE LINKE
Anja Troff-Schaffarzyk,Frau,Niedersachsen,25 - Unterems,anja.troff-schaffarzyk@bundestag.de,SPD
Carsten Träger,Herr,Bayern,242 - Fürth,carsten.traeger@bundestag.de,SPD
Markus Töns,Herr,Nordrhein-Westfalen,122 - Gelsenkirchen,markus.toens@bundestag.de,SPD
Derya Türk-Nachbaur,Frau,Baden-Württemberg,286 - Schwarzwald-Baar,derya.tuerk-nachbaur@bundestag.de,SPD
Katrin Uhlig,Frau,Nordrhein-Westfalen,95 - Bonn,katrin.uhlig@bundestag.de,GRÜNE
Aaron Valent,Herr,Bayern,250 - Würzburg,aaron.valent@bundestag.de,DIE LINKE
Isabelle Vandre,Frau,Brandenburg,61 - Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,isabelle.vandre@bundestag.de,DIE LINKE
Dr. Julia Verlinden,Frau,Niedersachsen,37 - Lüchow-Dannenberg – Lüneburg,julia.verlinden@bundestag.de,GRÜNE
Kerstin Vieregge,Frau,Nordrhein-Westfalen,134 - Lippe I,kerstin.vieregge@bundestag.de,CDU
Ingo Vogel,Herr,Nordrhein-Westfalen,118 - Essen II,ingo.vogel@bundestag.de,SPD
Dr. Oliver Vogt,Herr,Nordrhein-Westfalen,133 - Minden-Lübbecke I,oliver.vogt@bundestag.de,CDU
Donata Vogtschmidt,Frau,Thüringen,188 - Eichsfeld – Nordhausen – Kyffhäuserkreis,donata.vogtschmidt@bundestag.de,DIE LINKE
Johannes Volkmann,Herr,Hessen,171 - Lahn-Dill,johannes.volkmann@bundestag.de,CDU
Sarah Vollath,Frau,Bayern,215 - Ingolstadt,sarah.vollath@bundestag.de,DIE LINKE
Christoph de Vries,Herr,Hamburg,18 - Hamburg-Mitte,christoph.vries@bundestag.de,CDU
Mayra Vriesema,Frau,Schleswig-Holstein,Landesliste Schleswig-Holstein,mayra.vriesema@bundestag.de,GRÜNE
Marja-Liisa Völlers,Frau,Niedersachsen,40 - Nienburg II – Schaumburg,marja-liisa.voellers@bundestag.de,SPD
Dirk Vöpel,Herr,Nordrhein-Westfalen,116 - Oberhausen – Wesel III,dirk.voepel@bundestag.de,SPD
Dr. Johann David Wadephul,Herr,Schleswig-Holstein,4 - Rendsburg-Eckernförde,johann.wadephul@bundestag.de,CDU
Niklas Wagener,Herr,Bayern,246 - Aschaffenburg,niklas.wagener@bundestag.de,GRÜNE
Robin Wagener,Herr,Nordrhein-Westfalen,134 - Lippe I,robin.wagener@bundestag.de,GRÜNE
Dr. Carolin Wagner,Frau,Bayern,232 - Regensburg,carolin.wagner@bundestag.de,SPD
Johannes Wagner,Herr,Bayern,237 - Coburg,johannes.wagner@bundestag.de,GRÜNE
Sascha Wagner,Herr,Nordrhein-Westfalen,116 - Oberhausen – Wesel III,sascha.wagner@bundestag.de,DIE LINKE
Siegfried Walch,Herr,Bayern,224 - Traunstein,siegfried.walch@bundestag.de,CSU
Maja Wallstein,Frau,Brandenburg,64 - Cottbus – Spree-Neiße,maja.wallstein@bundestag.de,SPD
Daniel Walter,Herr,Nordrhein-Westfalen,89 - Düren,daniel.walter@bundestag.de,SPD
Nina Warken,Frau,Baden-Württemberg,276 - Odenwald – Tauber,nina.warken@bundestag.de,CDU
Carmen Wegge,Frau,Bayern,223 - Starnberg – Landsberg am Lech,carmen.wegge@bundestag.de,SPD
Dr. Anja Weisgerber,Frau,Bayern,249 - Schweinfurt,anja.weisgerber@bundestag.de,CSU
Dr. Maria-Lena Weiss,Frau,Baden-Württemberg,285 - Rottweil – Tuttlingen,maria-lena.weiss@bundestag.de,CDU
Kai Whittaker,Herr,Baden-Württemberg,273 - Rastatt,kai.whittaker@bundestag.de,CDU
Johannes Wiegelmann,Herr,Hessen,174 - Main-Kinzig – Wetterau II – Schotten,johannes.wiegelmann@bundestag.de,CDU
Dr. Klaus Wiener,Herr,Nordrhein-Westfalen,103 - Mettmann I,klaus.wiener@bundestag.de,CDU
Dirk Wiese,Herr,Nordrhein-Westfalen,146 - Hochsauerlandkreis,dirk.wiese@bundestag.de,SPD
Christin Willnat,Frau,Brandenburg,60 - BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,christin.willnat@bundestag.de,DIE LINKE
Klaus-Peter Willsch,Herr,Hessen,177 - Rheingau-Taunus – Limburg,klaus-peter.willsch@bundestag.de,CDU
Johannes Winkel,Herr,Nordrhein-Westfalen,106 - Düsseldorf II,johannes.winkel@bundestag.de,CDU
Elisabeth Winkelmeier-Becker,Frau,Nordrhein-Westfalen,96 - Rhein-Sieg-Kreis I,elisabeth.winkelmeier-becker@bundestag.de,CDU
Tobias Winkler,Herr,Bayern,242 - Fürth,tobias.winkler@bundestag.de,CSU
Tina Winklmann,Frau,Bayern,233 - Schwandorf,tina.winklmann@bundestag.de,GRÜNE
Janine Wissler,Frau,Hessen,181 - Frankfurt am Main I,janine.wissler@bundestag.de,DIE LINKE
Mechthilde Wittmann,Frau,Bayern,256 - Oberallgäu,mechthilde.wittmann@bundestag.de,CSU
Mareike Lotte Wulf,Frau,Niedersachsen,46 - Hameln-Pyrmont – Holzminden,mareike.wulf@bundestag.de,CDU
Serdar Yüksel,Herr,Nordrhein-Westfalen,139 - Bochum I,serdar.yueksel@bundestag.de,SPD
Anne Zerr,Frau,Baden-Württemberg,289 - Reutlingen,anne.zerr@bundestag.de,DIE LINKE
Emmi Zeulner,Frau,Bayern,239 - Kulmbach,emmi.zeulner@bundestag.de,CSU
Paul Ziemiak,Herr,Nordrhein-Westfalen,149 - Märkischer Kreis II,paul.ziemiak@bundestag.de,CDU
Stefan Zierke,Herr,Brandenburg,57 - Uckermark – Barnim I,stefan.zierke@bundestag.de,SPD
Nicolas Zippelius,Herr,Baden-Württemberg,272 - Karlsruhe-Land,nicolas.zippelius@bundestag.de,CDU
Vanessa Zobel,Frau,Niedersachsen,30 - Stade I – Rotenburg II,vanessa.zobel@bundestag.de,CDU
Armand Zorn,Herr,Hessen,181 - Frankfurt am Main I,armand.zorn@bundestag.de,SPD
Mahmut Özdemir,Herr,Nordrhein-Westfalen,115 - Duisburg II,mahmut.oezdemir@bundestag.de,SPD
Cansu Özdemir,Frau,Hamburg,Landesliste Hamburg,cansu.oezdemir@bundestag.de,DIE LINKE
Aydan Özoğuz,Frau,Hamburg,22 - Hamburg-Wandsbek,aydan.oezoguz@bundestag.de,SPD
